Time(s);RTF
114.10;1.00
114.20;0.99
114.30;1.02
114.40;0.94
114.50;1.03
114.60;0.98
114.70;1.03
114.80;1.01
114.90;0.96
115.00;1.04
115.10;1.01
115.20;0.99
115.30;1.00
115.40;1.00
115.50;1.01
115.60;0.99
115.70;1.00
115.80;1.02
115.90;0.99
116.00;1.01
116.10;1.00
116.20;1.00
116.30;1.00
116.40;1.01
116.50;1.00
116.60;0.99
116.70;1.00
116.80;0.98
116.90;1.01
117.00;1.00
117.10;1.01
117.20;0.98
117.30;1.00
117.40;1.02
117.50;0.99
117.60;0.99
117.70;1.01
117.80;1.00
117.90;1.00
118.00;0.99
118.10;1.01
118.20;1.00
118.30;1.03
118.40;0.97
118.50;0.99
118.60;1.02
118.70;1.00
118.80;0.99
118.90;1.00
119.00;0.99
119.10;1.02
119.20;0.98
119.30;1.00
119.40;1.00
119.50;0.98
119.60;1.04
119.70;0.99
119.80;1.00
119.90;1.00
